City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Baruun-Urt,46.6806,113.2792,34.52,48,0,6.31,MN,1587748158
Sangar,63.9242,127.4739,24.28,97,30,3.2,RU,1587748254
Ust’-Karsk,52.7011,118.8077,34.12,74,67,3.65,RU,1587748254
Abu Kamal,34.4506,40.9171,76.77,30,99,11.48,SY,1587748143
Juneau,58.3019,-134.4197,43.0,87,90,9.17,US,1587748584
Dolores,-36.3132,-57.6792,68.25,81,100,9.26,AR,1587748479
Ponta do Sol,32.6667,-17.1,64.4,63,40,17.22,PT,1587748274
Alofi,-19.0595,-169.9187,71.6,100,90,2.24,NU,1587748521
Kristiansund,63.1115,7.732,44.6,70,75,9.17,NO,1587748449
Ancud,-41.8697,-73.8203,57.0,100,90,5.82,CL,1587748514
Tagusao,9.1924,117.8141,81.79,75,42,1.81,PH,1587747937
Sale,34.0389,-6.8166,66.99,82,75,8.05,MA,1587748161
Sola,-13.8833,167.55,81.25,79,100,16.42,VU,1587748260
Vraca,43.8422,18.3955,50.16,52,0,0.58,BA,1587748473
La Palma,33.8464,-118.0467,84.99,42,1,4.7,US,1587748578
Sumkino,58.1108,68.3244,33.66,86,58,3.22,RU,1587747934
Narsaq,60.9167,-46.05,53.6,23,75,11.41,GL,1587748479
Killybegs,54.6333,-8.45,60.8,87,97,6.93,IE,1587748383
Yuancheng,36.652,107.7896,48.06,19,0,7.23,CN,1587747942
Tchibanga,-2.85,11.0333,77.56,87,57,4.54,GA,1587748158
Syumsi,57.1111,51.6149,28.9,90,96,5.28,RU,1587747912
Sitka,57.0531,-135.33,42.8,87,90,3.36,US,1587748584
São Gabriel da Cachoeira,-0.1303,-67.0892,84.2,74,20,3.36,BR,1587748498
Airai,-8.9266,125.4092,67.15,72,100,4.18,TL,1587747936
Łęczna,51.3012,22.8814,62.6,39,92,5.82,PL,1587748148
Constitución,-35.3333,-72.4167,60.26,83,96,15.01,CL,1587748514
Maragogi,-9.0122,-35.2225,82.76,72,24,11.43,BR,1587748474
San Quintín,30.4833,-115.95,73.83,45,0,5.99,MX,1587748514
Seven Pagodas,12.6264,80.1722,87.8,70,20,9.17,IN,1587747931
Sosnovo-Ozerskoye,52.5249,111.5418,32.43,51,38,2.1,RU,1587748254
Kaeo,-35.1,173.7833,54.0,92,100,4.97,NZ,1587748273
Kokopo,-4.352,152.2633,79.03,77,64,3.53,PG,1587748158
Cayenne,4.9333,-52.3333,87.8,55,40,10.29,GF,1587748473
Rocha,-34.4833,-54.3333,77.83,56,99,10.09,UY,1587748480
Ken Caryl,39.5773,-105.1169,55.0,53,75,12.75,US,1587748583
Rochegda,62.8,43.25,26.91,95,100,4.12,RU,1587747913
San Policarpo,12.1791,125.5072,82.0,83,30,14.34,PH,1587747938
Karratha,-20.7377,116.8463,82.71,69,0,5.86,AU,1587748671
Guarapari,-20.6667,-40.4975,78.01,66,4,8.14,BR,1587748481
Barguzin,53.6167,109.6167,33.87,61,5,1.63,RU,1587748254
Bowen,-20.0167,148.2333,69.01,88,1,6.93,AU,1587748273
Puerto Escondido,15.85,-97.0667,84.2,89,20,6.93,MX,1587748490
Ciudad Lázaro Cárdenas,17.9583,-102.2,83.52,53,33,9.08,MX,1587748521
Pangnirtung,66.1451,-65.7125,37.4,59,90,17.22,CA,1587748596
Pompéia,-22.1086,-50.1717,78.96,58,11,7.72,BR,1587748480
Vardø,70.3705,31.1107,30.2,92,90,28.86,NO,1587747926
Kahului,20.8947,-156.47,71.6,83,40,10.29,US,1587748590
Luanda,-8.8368,13.2343,87.8,66,75,5.82,AO,1587748142
Da Lat,11.9465,108.4419,58.1,65,99,3.2,VN,1587748154
Bīrjand,32.8663,59.2211,69.8,35,20,1.19,IR,1587748143
Samarai,-10.6167,150.6667,78.62,85,57,5.86,PG,1587748260
Haines Junction,60.7522,-137.5108,34.84,66,100,6.33,CA,1587748591
Adrar,20.5022,-10.0711,92.01,13,52,12.06,MR,1587748279
Grand Gaube,-20.0064,57.6608,78.01,89,99,3.0,MU,1587747928
Batatais,-20.8911,-47.585,86.0,48,40,5.82,BR,1587748486
Ólafsvík,64.8945,-23.7142,43.52,79,90,12.95,IS,1587748479
Aneby,57.839,14.8102,48.2,51,45,12.75,SE,1587748314
Westport,41.1415,-73.3579,46.99,87,90,14.99,US,1587748553
Banda Aceh,5.5577,95.3222,80.74,78,61,5.91,ID,1587748149
Beringovskiy,63.05,179.3167,18.77,96,99,9.31,RU,1587748260
Cabedelo,-6.9811,-34.8339,87.8,62,40,10.29,BR,1587748474
Peniche,39.3558,-9.3811,62.01,77,75,8.01,PT,1587748159
Batagay,67.6333,134.6333,21.04,94,88,1.32,RU,1587748254
Flin Flon,54.7682,-101.865,39.2,60,75,8.05,CA,1587748591
Storm Lake,42.6411,-95.2097,62.6,51,1,16.11,US,1587748554
Skellefteå,64.7507,20.9528,42.8,60,64,2.24,SE,1587748146
Taoudenni,22.6783,-3.9836,103.39,8,17,16.64,ML,1587748279
Saint-Augustin,51.226,-58.6502,34.84,84,84,23.22,CA,1587748596
Sokur,55.2093,83.319,50.0,61,96,4.47,RU,1587747934
Ruidoso,33.3317,-105.673,64.99,21,1,19.46,US,1587748583
Tyukhtet,56.5389,89.3011,60.55,52,92,7.76,RU,1587747934
Ahipara,-35.1667,173.1667,60.21,80,100,8.43,NZ,1587748273
Acapulco de Juárez,16.8634,-99.8901,84.2,54,5,4.7,MX,1587748491
Acajutla,13.5928,-89.8275,87.8,45,20,4.7,SV,1587748491
La Ronge,55.1001,-105.2842,39.2,64,90,9.17,CA,1587748592
Santa Cruz del Norte,23.1539,-81.9236,91.4,49,40,14.99,CU,1587748491
Dingle,10.9995,122.6711,80.28,84,13,10.96,PH,1587747938
Shenjiamen,29.9576,122.298,59.0,71,45,15.77,CN,1587748149
Komsomolskiy,40.4272,71.7189,75.2,33,99,6.93,UZ,1587747934
Trairi,-3.2778,-39.2689,83.17,76,75,8.05,BR,1587748474
Palmerston,-12.486,130.9833,80.6,83,54,4.7,AU,1587748601
Shunyi,40.125,116.6453,68.0,16,5,15.66,CN,1587748149
Bulgan,48.8125,103.5347,49.71,28,69,1.7,MN,1587748158
Ntoum,0.3833,9.7833,86.0,74,40,6.93,GA,1587748279
Shache,38.4167,77.2406,66.72,22,42,3.51,CN,1587748149
Kulhudhuffushi,6.6221,73.07,84.24,77,100,11.99,MV,1587747933
Karymskoye,51.6167,114.35,34.88,58,8,1.28,RU,1587748254
Nabire,-3.3667,135.4833,76.77,85,49,2.66,ID,1587748155
Popondetta,-8.7537,148.2534,75.42,82,81,3.06,PG,1587748158
Thomaston,32.8882,-84.3266,72.0,60,90,12.75,US,1587748523
Koindu,8.4386,-10.3253,80.6,65,76,1.1,GN,1587748279
Santarém,-2.4431,-54.7083,84.2,74,40,5.82,BR,1587748474
Laguna,38.421,-121.4238,75.2,31,1,12.75,US,1587748578
Imbituba,-28.24,-48.6703,78.8,54,20,11.41,BR,1587748485
Saskylakh,71.9167,114.0833,26.55,96,41,14.05,RU,1587748254
Monchegorsk,67.9397,32.8739,26.8,95,99,17.6,RU,1587748145
Şile,41.1754,29.6133,54.0,55,0,4.0,TR,1587747925
Camocim,-2.9022,-40.8411,83.97,77,98,1.83,BR,1587748474
Nanortalik,60.1432,-45.2371,41.25,68,100,22.21,GL,1587748479
Departamento de Maldonado,-34.6667,-54.9167,78.01,61,96,10.29,UY,1587748480
Kasongo-Lunda,-6.4667,16.8167,74.62,76,81,1.36,CD,1587748147
Artigas,-30.4,-56.4667,86.27,30,36,16.31,UY,1587748480
Half Moon Bay,37.4636,-122.4286,73.99,52,5,12.39,US,1587748578
Rio Grande,-32.035,-52.0986,87.8,43,61,8.05,BR,1587748480
Chulym,55.0997,80.9572,46.56,81,97,8.84,RU,1587747934
Orchard Homes,46.8633,-114.0484,52.0,53,1,3.36,US,1587748584
Yumen,40.2833,97.2,46.94,16,0,5.93,CN,1587747935
Verkhnevilyuysk,63.4453,120.3167,28.36,97,49,1.81,RU,1587748254
Yeppoon,-23.1333,150.7333,69.8,83,4,6.93,AU,1587748260
Cap Malheureux,-19.9842,57.6142,78.01,89,99,3.0,MU,1587747928
Orange Cove,36.6244,-119.3137,73.99,53,1,2.66,US,1587748578
Anadyr,64.75,177.4833,15.8,85,90,4.47,RU,1587748260
Richards Bay,-28.783,32.0377,74.12,78,0,12.82,ZA,1587748148
Enshi,30.3,109.4833,55.11,59,97,1.88,CN,1587748148
Elizabeth City,36.2946,-76.2511,73.99,69,75,11.41,US,1587748538
Avera,33.194,-82.5271,75.2,57,75,9.17,US,1587748523
Santa Maria,-29.6842,-53.8069,86.11,29,31,7.56,BR,1587748480
Comodoro Rivadavia,-45.8667,-67.5,53.6,76,40,5.82,AR,1587748513
Gwanda,-20.9333,29.0,64.2,43,0,8.23,ZW,1587747928
Chapais,49.7834,-74.8492,30.2,22,1,6.93,CA,1587748591
Ekhabi,53.5102,142.9671,26.1,98,100,4.38,RU,1587748159
Matara,5.9485,80.5353,79.18,88,98,7.47,LK,1587748149
Tshikapa,-6.4167,20.8,75.67,72,74,3.02,CD,1587748143
Pratāpgarh,24.0333,74.7833,82.17,21,3,7.74,IN,1587748150
Uíge,-7.6087,15.0613,71.6,94,90,6.93,AO,1587748142
Saint-Joseph,-21.3667,55.6167,71.6,94,2,25.28,RE,1587748672
Oussouye,12.485,-16.5469,78.8,74,63,11.41,SN,1587748273
La Macarena,2.1837,-73.7849,86.7,65,19,4.09,CO,1587748504
Altamont,42.2068,-121.7372,55.99,47,75,6.93,US,1587748584
Shima,24.4478,117.8111,64.4,52,20,6.71,CN,1587748149
Tura,25.5198,90.2201,65.79,87,62,3.47,IN,1587748150
Yenangyaung,20.4667,94.8833,77.9,62,82,3.98,MM,1587748153
Ulladulla,-35.35,150.4667,57.0,87,49,4.7,AU,1587748261
Tsaratanana,-16.7833,47.65,76.3,65,34,3.62,MG,1587748148
Ajdabiya,30.7554,20.2263,64.98,64,6,16.28,LY,1587748142
Doumé,4.2333,13.45,78.84,58,51,2.15,CM,1587748273
Zharkent,44.1628,80.0,68.97,18,24,4.16,KZ,1587748154
Hollins,37.3413,-79.9431,69.01,72,90,11.41,US,1587748545
Taksimo,56.3444,114.8794,29.37,76,0,3.4,RU,1587748254
Abu Samrah,35.3029,37.1841,62.2,54,97,8.43,SY,1587747905
Mattawa,46.7379,-119.9028,59.0,58,75,3.2,US,1587748590
Palm Beach,26.7056,-80.0364,93.99,59,75,12.75,US,1587748522
Āzādshahr,34.7909,48.5707,55.09,27,35,9.78,IR,1587748142
Koumac,-20.5667,164.2833,74.39,80,100,9.06,NC,1587748260
Şalālah,17.0151,54.0924,84.2,83,20,8.05,OM,1587748143
Farafangana,-22.8167,47.8333,74.25,77,21,4.5,MG,1587748148
Turba,59.0831,24.225,46.0,75,38,8.05,EE,1587747916
Paralímni,35.0375,33.9833,64.4,72,20,10.29,CY,1587747904
Show Low,34.2542,-110.0298,66.2,25,1,17.22,US,1587748577
Xinan,26.72,119.8556,57.07,69,79,7.87,CN,1587747943
Nuevo Progreso,23.1667,-97.95,91.0,45,13,5.99,MX,1587748490
Noyabrsk,63.1994,75.4507,31.57,94,62,9.98,RU,1587748154
Honiara,-9.4333,159.95,73.4,100,20,3.36,SB,1587748158
Port Hueneme,34.1478,-119.1951,89.6,46,1,6.93,US,1587748578
Höfn,64.2539,-15.2082,44.6,65,90,9.17,IS,1587748296
Enugu,6.4402,7.4943,93.2,52,40,5.82,NG,1587748160
Tongzi,28.7829,105.0877,60.58,59,100,0.67,CN,1587747945
Zaranj,30.9667,61.8833,78.8,47,20,4.7,AF,1587747929
Alanya,36.5438,31.9998,58.48,80,100,4.16,TR,1587748144
Mayo,38.8876,-76.5119,53.01,100,90,10.29,US,1587748532
Kauhajoki,62.4333,22.1833,39.99,40,16,10.29,FI,1587747918
Namatanai,-3.6667,152.4333,81.63,77,79,7.61,PG,1587748260
Nar'yan-Mar,67.6713,53.087,21.29,94,1,15.32,RU,1587748145
Sur,22.5667,59.5289,85.55,57,65,8.97,OM,1587748143
Prince Rupert,54.3161,-130.3201,46.4,72,90,4.7,CA,1587748596
Havelock,34.8791,-76.9013,73.0,73,90,13.87,US,1587748538
Kalianget,-7.05,113.9333,82.45,78,100,7.83,ID,1587748155
Nambucca Heads,-30.65,153.0,55.4,87,0,1.12,AU,1587748266
Chicama,-7.8447,-79.1469,69.8,83,25,13.87,PE,1587748503
Talcahuano,-36.7167,-73.1167,59.09,86,99,19.37,CL,1587748513
Nāgercoil,8.1667,77.4333,87.8,70,75,4.7,IN,1587748151
Bairiki Village,1.3292,172.9752,77.0,88,75,5.82,KI,1587748696
Cheremushskiy,61.2731,47.2636,24.1,93,76,5.55,RU,1587747915
Quatre Cocos,-20.2078,57.7625,78.01,94,75,8.05,MU,1587747929
Makokou,0.5738,12.8642,79.47,62,67,0.4,GA,1587748279
Kyshtovka,56.555,76.6271,44.31,87,100,9.28,RU,1587747934
Fairlie,55.756,-4.8556,68.0,32,67,4.7,GB,1587748303
Vila Velha,-20.3297,-40.2925,80.6,65,40,17.22,BR,1587748480
Empangeni,-28.762,31.8933,71.78,79,0,9.78,ZA,1587748148
Portland,45.5234,-122.6762,54.0,87,90,5.82,US,1587748584
Fergus Falls,46.283,-96.0776,60.8,41,40,9.17,US,1587748562
Schattdorf,46.8655,8.6547,69.8,37,40,5.82,CH,1587748308
Sterling,39.0062,-77.4286,55.99,81,90,8.05,US,1587748553
Provincia di Taranto,40.6167,17.25,66.2,68,21,8.05,IT,1587748450
Okhotsk,59.3833,143.3,28.89,98,99,3.89,RU,1587748260
Sun Valley,39.5963,-119.776,63.0,28,1,0.83,US,1587748583
Port Augusta,-32.5,137.7667,54.0,100,48,5.82,AU,1587748255
Cravo Norte,6.3017,-70.2041,93.22,45,11,8.43,CO,1587748503
Point Pleasant,40.0832,-74.0682,48.2,91,90,10.29,US,1587748563
Qaqortoq,60.7167,-46.0333,53.6,23,75,11.41,GL,1587748479
Te Anau,-45.4167,167.7167,49.05,78,80,5.12,NZ,1587748273
Saint-Médard-en-Jalles,44.8969,-0.7214,75.2,53,17,5.82,FR,1587748158
Eureka,40.8021,-124.1637,61.0,82,1,4.7,US,1587748584
Pyay,18.8167,95.2167,77.34,57,13,0.47,MM,1587748154
Fort Nelson,58.8053,-122.7002,44.6,65,75,3.36,CA,1587748591
Kavaratti,10.5669,72.642,85.98,61,79,2.86,IN,1587747932
Bulawayo,-20.15,28.5833,62.8,35,0,9.48,ZW,1587748148
Montélimar,44.5584,4.7509,73.0,41,17,4.0,FR,1587748157
Bathsheba,13.2167,-59.5167,87.8,55,40,25.28,BB,1587748473
Eldorado,-23.7869,-54.2836,81.41,36,0,7.87,BR,1587748485
Raudeberg,61.9875,5.1352,51.8,53,20,13.87,NO,1587748449
Buraydah,26.326,43.975,91.4,24,0,5.82,SA,1587748142
Kropotkin,45.4375,40.5756,50.13,51,12,0.45,RU,1587748145
Supaul,26.1167,86.6,75.2,66,18,15.21,IN,1587748150
Uyemskiy,64.4743,40.8524,30.2,74,90,13.42,RU,1587747912
Tegul’det,57.3064,88.1667,56.34,62,100,8.34,RU,1587747934
Ludvika,60.1496,15.1878,48.2,45,92,8.05,SE,1587748309
Bato,13.3528,123.3677,77.85,85,73,6.6,PH,1587748156
Boende,-0.2167,20.8667,81.01,57,48,0.76,CD,1587748143
Ensley,30.5188,-87.2728,80.01,53,1,13.87,US,1587748522
San Jerónimo,-11.9472,-75.2829,59.49,20,47,4.92,PE,1587748514
Adela,12.4416,120.9729,80.2,73,51,5.93,PH,1587747942
San Luis,-33.295,-66.3356,77.27,35,26,1.63,AR,1587748504
Mehamn,71.0357,27.8492,33.8,74,75,33.33,NO,1587747926
Ulan Bator,47.9077,106.8832,39.2,27,0,2.24,MN,1587748158
Mersing,2.4312,103.8405,78.8,94,75,3.36,MY,1587748156
Henties Bay,-22.116,14.2845,59.0,94,27,3.0,NA,1587748473
Alugan,12.2188,125.4808,81.79,83,28,14.05,PH,1587747942
Bay Roberts,47.5999,-53.2648,46.0,55,80,11.99,CA,1587748591
Kattivākkam,13.2167,80.3167,87.8,70,20,9.17,IN,1587748152
Tarko-Sale,64.9225,77.785,24.01,76,34,10.16,RU,1587748154
Najrān,17.4924,44.1277,86.0,35,75,16.11,SA,1587748142
Pisco,-13.7,-76.2167,73.4,73,0,9.17,PE,1587748514
São Brás de Alportel,37.1531,-7.8875,68.0,64,20,6.93,PT,1587748274
Antalaha,-14.9003,50.2788,77.72,84,41,13.11,MG,1587748148
Oodweyne,9.4092,45.064,74.61,54,100,7.47,SO,1587747903
Xuanzhou,30.9525,118.7553,55.96,67,30,7.07,CN,1587748149
Kórinthos,37.9407,22.9573,62.01,40,7,3.0,GR,1587748143
Kosh-Agach,50.0,88.6667,43.52,26,0,3.42,RU,1587747934
Changwat Nan,18.8333,100.6667,71.92,80,38,2.44,TH,1587747937
Raymondville,26.4815,-97.7831,91.4,49,1,12.75,US,1587748545
Dobryanka,58.4619,56.4165,28.4,79,40,11.18,RU,1587748145
Slave Lake,55.2834,-114.769,41.0,56,1,8.05,CA,1587748596
Yārāda,17.65,83.2667,86.0,74,20,9.17,IN,1587747930
Valdez,1.2492,-78.9831,84.25,69,100,4.12,EC,1587748497
Sicamous,50.8331,-118.9856,44.01,89,59,2.8,CA,1587748596
Businga,3.3333,20.8833,80.73,59,17,0.36,CD,1587748143
Jawhar,2.7809,45.5005,84.49,64,96,4.59,SO,1587748142
Ibrā’,22.6906,58.5334,86.88,22,22,6.55,OM,1587748143
Chervone,49.9564,28.8645,53.15,52,97,4.32,UA,1587747923
Tonneins,44.3921,0.3124,77.0,50,0,2.24,FR,1587748390
Marawi,7.9986,124.2928,80.01,86,40,5.01,PH,1587747940
Mnogovershinnyy,53.9353,139.9242,24.53,96,100,5.91,RU,1587748254
Delta del Tigre,-34.7633,-56.3853,72.0,73,99,9.17,UY,1587748480
Vila Franca do Campo,37.7167,-25.4333,64.4,77,20,16.11,PT,1587748473
Toamasina,-18.1667,49.3833,77.0,88,40,9.17,MG,1587748148
Cañada,38.6767,-0.8141,64.99,48,31,5.99,ES,1587748601
Kamaishi,39.2667,141.8833,40.71,72,93,5.59,JP,1587748159
Abalak,58.1286,68.5944,33.26,85,52,3.47,RU,1587747934
Alekseyevsk,57.8406,108.3492,31.33,81,62,2.1,RU,1587748254
Kudahuvadhoo,2.6708,72.8944,82.49,68,100,3.11,MV,1587747933
Terney,45.0503,136.6092,34.43,86,51,5.46,RU,1587748254
Bell Ville,-32.6259,-62.6887,91.99,36,50,10.0,AR,1587748513
Navalmoral de la Mata,39.8916,-5.5406,69.01,55,100,2.59,ES,1587748156
Bafang,5.1563,10.1788,68.11,69,95,1.81,CM,1587748148
Miracema do Tocantins,-9.5618,-48.3967,85.89,65,66,3.13,BR,1587748474
Jablah,35.3614,35.9256,60.8,93,75,6.93,SY,1587748143
Anori,-3.7728,-61.6442,84.63,77,86,3.2,BR,1587748498
Meridian,43.6121,-116.3915,59.0,62,20,4.7,US,1587748584
Iranshahr,27.2025,60.6848,89.6,27,20,6.93,IR,1587748149
Burnie,-41.0667,145.9167,53.01,90,90,3.0,AU,1587748143
Manjacaze,-24.7117,33.8828,69.6,73,2,6.78,MZ,1587748148
Sakakah,29.9697,40.2064,89.6,8,40,31.09,SA,1587748142
Katsuura,35.1333,140.3,48.2,81,20,10.29,JP,1587748159
Saurimo,-9.6608,20.3916,82.4,51,40,2.24,AO,1587748142
Vestmannaeyjar,63.4427,-20.2734,42.8,87,75,10.29,IS,1587748479
Turaif,31.6725,38.6637,82.4,24,90,20.8,SA,1587748142
Cockburn Town,21.4612,-71.1419,86.0,66,40,11.41,TC,1587748491
Falkensee,52.5667,13.0833,70.0,22,49,14.99,DE,1587748151
Nago,26.5881,127.9761,60.8,82,75,3.36,JP,1587748157
Ramona,33.0417,-116.8681,82.99,54,1,5.82,US,1587748578
Safi,32.2994,-9.2372,64.02,76,84,15.3,MA,1587748161
